,RiverToExport_0,RiverToExport_1,RiverToExport_2,RiverToExport_3,RiverToExport_4,RiverToExport_5,RiverToExport_6,RiverToExport_7
0,0.0,0.0,36529598.8502931,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,5124287.389674865,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,15750003.683424594,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,26375719.977094322,0.0,0.0,0.0,0.0,0.0,0.0
6,37608949.25420844,34937330.91665549,0.0,0.0,0.0,0.0,0.0,0.0
7,53862970.66722156,0.0,0.0,0.0,0.0,0.0,39062722.65356065,22053991.610607304
8,67443843.14657001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,34349069.43810043,0.0
