,Import_0,Import_1,Import_2
0,158915763.06800002,0.0,0.0
1,158915763.06800002,0.0,0.0
2,46173653.73813805,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,158915763.06800002
6,0.0,0.0,158915763.06800002
7,0.0,0.0,33284227.79586181
