scenario,time,subregion,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units
SSP1,date=2022-10-4T03:04:52-04:00,ArkWhtRedR,8.26209,10.15786,10.66478,11.29214,12.05284,12.22768,12.18169,12.19193,12.42106,12.89139,13.19637,13.16106,12.90602,12.64098,12.23137,11.9164,11.71329,11.52417,11.29084,10.98852,10.63222,thous km2
SSP1,date=2022-10-4T03:04:52-04:00,California,0.725467,0.89193,0.9364406,0.9915274,1.1367762,1.214082,1.2757657,1.2385053,1.2214204,1.2351475,1.2345067,1.2372352,1.2176698,1.1976378,1.1626647,1.1377868,1.1238001,1.1117109,1.0939535,1.0686808,1.0371691,thous km2
SSP1,date=2022-10-4T03:04:52-04:00,GreatBasin,0.0582612,0.086233,0.0905362,0.095862,0.114604,0.1262825,0.1366837,0.1359162,0.1362806,0.1401208,0.1417491,0.1431507,0.1413356,0.1390775,0.1345915,0.1310617,0.1285495,0.125959,0.1226499,0.118278,0.1130582,thous km2
SSP1,date=2022-10-4T03:04:52-04:00,GreatLakes,16.970334,20.864206,21.716742,21.549874,22.586217,22.711123,22.599174,22.633121,22.998163,23.698063,24.170576,24.166029,23.901996,23.63036,23.206559,22.949007,22.897782,22.898497,22.854137,22.722695,22.510565,thous km2
SSP1,date=2022-10-4T03:04:52-04:00,MissouriR,56.33412,69.26024,72.71642,76.99408,82.22716,83.8476,84.60277,85.45285,87.18204,90.25577,92.25893,92.57881,91.57339,90.36404,88.33721,86.85374,86.12544,85.46592,84.48378,83.04049,81.16893,thous km2
SSP1,date=2022-10-4T03:04:52-04:00,MissppRN,73.670802,83.017374,79.43593,77.768646,82.061013,82.997985,83.389878,84.356986,86.226276,88.713665,90.207122,90.138272,89.361711,88.386081,87.030526,86.088912,85.703589,85.411623,84.942627,84.197721,83.176488,thous km2
SSP1,date=2022-10-4T03:04:52-04:00,MissppRS,24.1677,29.7131,31.19594,32.09918,33.22041,33.16936,32.82007,32.66908,32.92975,33.63207,34.13476,34.06597,33.66756,33.27896,32.68111,32.28489,32.13586,32.05211,31.91185,31.66381,31.3221,thous km2
SSP1,date=2022-10-4T03:04:52-04:00,NelsonR,14.6189948,17.973406,18.8703212,19.3427826,20.0415981,19.8978411,19.4888235,18.8962538,18.72842,18.8470139,18.8415179,18.7202729,18.4401665,18.196097,17.832808,17.598279,17.4848761,17.4234403,17.3573165,17.2399212,17.0946671,thous km2
SSP1,date=2022-10-4T03:04:52-04:00,OhioR,35.434456,43.565164,45.739166,45.815666,48.075546,48.44305,48.384084,48.724487,49.680753,51.187149,52.143206,52.047641,51.47898,50.855197,49.955693,49.343715,49.094123,48.921185,48.647997,48.201363,47.590027,thous km2
SSP1,date=2022-10-4T03:04:52-04:00,RioGrande,0.02760002,0.033933,0.0356262,0.037722,0.04012512,0.04045325,0.04025174,0.03943479,0.03900948,0.0395379,0.03941066,0.03977218,0.03914384,0.03832839,0.03689422,0.03570167,0.03487276,0.03399582,0.03287845,0.03149239,0.02989108,thous km2
