Scenario,Year,Rates,Demand_China,Demand_ROW,OBJ_Values,Revenue_Total,Cost_Total,Cost_Operation,Cost_Holding,Cost_Facility,Cost_Barges,Cost_Rails,Cost_BExport,Cost_SExport,Cost_Oceans,Total_production,Inventory,Quantity_X_Facility,Quantity_X_Country_Stream,Quantity_X_Country_Rail,Quantity_Y_Stream_Export,Quantity_Y_Rail_Export,Quantity_Z_Export_Import,China_Price,ROW_Price,Revenue_Domestic,Revenue_China,Revenue_Row,Subsidy,Tax,Runtime
SSP1,2035,1_1_1_10,191102997,152882398,8697869045606,8863436359142,165567313536,109306807,6845775971,493850986,810456222,4805444090,2434288232,8652255310,141415935915,500151614,136915519,19250699,82358508,261626887,82358508,261626887,343985396,2441,1550,8136467136900,466614361385,237014928262,23339932593,0,19.874645233154297
SSP1,2035,1_10_1_1,191102997,152882398,8826175061075,8863436359142,37261298067,109306807,6845775971,493850986,0,7682251345,0,7149358796,14980754159,500151614,136915519,19250699,0,343985396,0,343985396,343985396,2441,1550,8136467136900,466614361385,237014928262,23339932593,0,21.218433380126957
SSP1,2035,10_1_1_1,191102997,152882398,8784104918694,8863436359142,79331440448,109306807,6845775971,4938509860,22308857277,19196710202,8589538984,2463613096,14879128246,500151614,136915519,19250699,185101762,158883633,185101762,158883633,343985396,2441,1550,8136467136900,466614361385,237014928262,23339932593,0,18.75968170166016
SSP1,2040,1_1_0.5_1,243901232,195120986,13231661422774,13271429907489,39768484714,144320760,6541908932,608601733,953225476,6773265409,2338456833,3450833247,18957872321,593572508,130838178,23712110,97560493,341461726,97560493,341461726,439022219,2431,1538,12349488590219,593084570862,300107708848,28749037557,0,17.840381622314453
SSP1,2040,1_1_1_1,243901232,195120986,13228524460386,13271429907489,42905447102,144320760,6541908932,608601733,1233713263,6239714068,3307391810,5811900203,19017896330,593572508,130838178,23712110,120278436,318743783,120278436,318743783,439022219,2431,1538,12349488590219,593084570862,300107708848,28749037557,0,17.20938491821289
SSP1,2040,1_1_1_10,243901232,195120986,13061777665094,13271429907489,209652242394,144320760,6541908932,608601733,1267659498,6232598086,3291247346,10979088300,180586817736,593572508,130838178,23712110,114835422,324186796,114835422,324186796,439022219,2431,1538,12349488590219,593084570862,300107708848,28749037557,0,17.72464942932129
SSP1,2040,1_10_1_1,243901232,195120986,13225464982552,13271429907489,45964924936,144320760,6541908932,608601733,0,10514219151,0,9012754392,19143119965,593572508,130838178,23712110,0,439022219,0,439022219,439022219,2431,1538,12349488590219,593084570862,300107708848,28749037557,0,17.983306884765625
SSP1,2040,10_1_1_1,243901232,195120986,13169456198878,13271429907489,101973708610,144320760,6541908932,6086017336,32144051410,22870288981,12342924886,2839801864,19004394438,593572508,130838178,23712110,249506084,189516134,249506084,189516134,439022219,2431,1538,12349488590219,593084570862,300107708848,28749037557,0,3.872171401977539
SSP1,2045,1_1_0.5_1,311286646,249029317,19841776492196,19890876282253,49099790056,189417019,6140463426,749052622,1349603215,9135019406,2984529341,4295027827,24256677196,712317710,122809268,29192478,124514658,435801305,124514658,435801305,560315963,2418,1522,18723396551966,752957428697,379128756659,35393544928,0,19.391233444213867
SSP1,2045,1_1_1_1,311286646,249029317,19837812628886,19890876282253,53063653366,189417019,6140463426,749052622,1623502952,8494651601,4131941630,7455664908,24278959203,712317710,122809268,29192478,151426023,408889940,151426023,408889940,560315963,2418,1522,18723396551966,752957428697,379128756659,35393544928,0,19.22305679321289
