,RiverToExport_0,RiverToExport_1,RiverToExport_2,RiverToExport_3,RiverToExport_4,RiverToExport_5,RiverToExport_6,RiverToExport_7
0,2136377042.6781366,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,326374705.93245304,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1552900901.922265,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,5447268802.694382,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,18273427763.71845,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,773613755.2130994,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
