Scenario,Year,Rates,Demand_China,Demand_ROW,OBJ_Values,Revenue_Total,Cost_Total,Cost_Operation,Cost_Holding,Cost_Facility,Cost_Barges,Cost_Rails,Cost_BExport,Cost_SExport,Cost_Oceans,Total_production,Inventory,Quantity_X_Facility,Quantity_X_Country_Stream,Quantity_X_Country_Rail,Quantity_Y_Stream_Export,Quantity_Y_Rail_Export,Quantity_Z_Export_Import,China_Price,ROW_Price,Revenue_Domestic,Revenue_China,Revenue_Row,Subsidy,Tax,Runtime
SSP4,2050,1_1_0.5_1,397289407,317831526,55186503713466,55257577810339,71074096872,317092210,18158094716,1262576772,1154998692,9855518599,3809099771,5661837991,30854878117,1127738032,363161894,49455204,158915763,556205170,158915763,556205170,715120933,2402,1502,53765590101758,954493766251,477533463733,59960478596,0,27.245967864990234
SSP4,2050,1_1_1_1,397289407,317831526,55181298121136,55257577810339,76279689202,317092210,18158094716,1262576772,1746163650,8820466849,5587748077,9461671656,30925875268,1127738032,363161894,49455204,200569649,514551284,200569649,514551284,715120933,2402,1502,53765590101758,954493766251,477533463733,59960478596,0,25.726974487304688
SSP4,2050,1_1_1_10,397289407,317831526,54909905638198,55257577810339,347672172140,317092210,18158094716,1262576772,1368445678,9840991957,4914991065,18503327766,293306651972,1127738032,363161894,49455204,159984748,555136185,159984748,555136185,715120933,2402,1502,53765590101758,954493766251,477533463733,59960478596,0,26.933963775634766
SSP4,2050,1_10_1_1,397289407,317831526,55176704458417,55257577810339,80873351922,317092210,18158094716,1262576772,0,15051659190,0,14944993379,31138935651,1127738032,363161894,49455204,0,715120933,0,715120933,715120933,2402,1502,53765590101758,954493766251,477533463733,59960478596,0,30.28596305847168
SSP4,2050,10_1_1_1,397289407,317831526,55092345611978,55257577810339,165232198360,317092210,18158094716,12625767728,40883423817,40143724606,16744024941,5465454973,30894615365,1127738032,363161894,49455204,373098487,342022446,373098487,342022446,715120933,2402,1502,53765590101758,954493766251,477533463733,59960478596,0,30.62096405029297
