Scenario,Year,Rates,Demand_China,Demand_ROW,OBJ_Values,Revenue_Total,Cost_Total,Cost_Operation,Cost_Holding,Cost_Facility,Cost_Barges,Cost_Rails,Cost_BExport,Cost_SExport,Cost_Oceans,Total_production,Inventory,Quantity_X_Facility,Quantity_X_Country_Stream,Quantity_X_Country_Rail,Quantity_Y_Stream_Export,Quantity_Y_Rail_Export,Quantity_Z_Export_Import,China_Price,ROW_Price,Revenue_Domestic,Revenue_China,Revenue_Row,Subsidy,Tax,Runtime
SSP4,2025,1_1_0.5_1,117320663,93856530,4002822102046,4024940276377,22118174330,60524060,7014138561,327543093,318910994,2472731754,1124837720,1706963966,9092524179,364225661,140282771,12765696,46928265,164248928,46928265,164248928,211177193,2455,1567,3574244278786,288105417308,147113195064,15477385217,0,26.746965408325195
SSP4,2025,1_1_1_1,117320663,93856530,4001235209376,4024940276377,23705067000,60524060,7014138561,327543093,485277153,2203559343,1669238880,2821149351,9123636557,364225661,140282771,12765696,59697279,151479914,59697279,151479914,211177193,2455,1567,3574244278786,288105417308,147113195064,15477385217,0,27.321964263916016
SSP4,2025,1_1_1_10,117320663,93856530,3921168495425,4024940276377,103771780951,60524060,7014138561,327543093,305409029,2638453007,1335627959,5261235039,86828850200,364225661,140282771,12765696,41766928,169410265,41766928,169410265,211177193,2455,1567,3574244278786,288105417308,147113195064,15477385217,0,27.121963500976562
SSP4,2025,1_10_1_1,117320663,93856530,3999961315939,4024940276377,24978960438,60524060,7014138561,327543093,0,3947288011,0,4448795975,9180670736,364225661,140282771,12765696,0,211177193,0,211177193,211177193,2455,1567,3574244278786,288105417308,147113195064,15477385217,0,27.407962799072266
SSP4,2025,10_1_1_1,117320663,93856530,3977341908088,4024940276377,47598368288,60524060,7014138561,3275430930,10092109902,11680568507,4502752075,1845027668,9127816581,364225661,140282771,12765696,101884299,109292894,101884299,109292894,211177193,2455,1567,3574244278786,288105417308,147113195064,15477385217,0,27.07699966430664
