,Demand,Supply,Export,Supply/Demand,Export/Demand,Export/Supply,ObjVal
0.5,8.80E+07,6.72E+06,6.16E+06,7.63E-02,7.00E-02,9.17E-01,5.38E+08
0.8,8.80E+07,6.72E+06,6.10E+06,7.63E-02,6.94E-02,9.09E-01,5.20E+08
1.2,8.80E+07,6.72E+06,6.05E+06,7.63E-02,6.88E-02,9.01E-01,5.00E+08
1,8.80E+07,6.72E+06,6.07E+06,7.63E-02,6.90E-02,9.05E-01,5.10E+08
1.5,8.80E+07,6.72E+06,6.04E+06,7.63E-02,6.87E-02,9.00E-01,4.85E+08
2,8.80E+07,6.72E+06,6.04E+06,7.63E-02,6.87E-02,9.00E-01,4.62E+08
3,8.80E+07,6.72E+06,6.05E+06,7.63E-02,6.87E-02,9.01E-01,4.34E+08
