,Demand,Supply,Export,Supply/Demand,Export/Demand,Export/Supply,ObjVal
0.2,880000000.0,1343013.5093735852,1208668.8439266512,0.0015,0.0014,0.9,65569288.600850254
0.5,880000000.0,3357533.7734339507,3021739.37103858,0.0038,0.0034,0.9,198013817.6132199
0.8,880000000.0,5372054.037494341,4834939.447204774,0.0061,0.0055,0.9,371366227.85333765
1.0,880000000.0,6715067.546867901,6080033.136714361,0.0076,0.0069,0.9054,509699989.939962
1.2,880000000.0,8058081.056241523,7468172.872507203,0.0092,0.0085,0.9268,667258514.8655882
1.5,880000000.0,10072601.320301916,9739616.188225513,0.0114,0.0111,0.9669,940906825.3497285
3.0,880000000.0,20145202.640603833,20145183.238206796,0.0229,0.0229,1.0,3012713477.8528414
