,Demand,Supply,Export,Supply/Demand,Export/Demand,Export/Supply,ObjVal
0.5,8.80E+07,6.72E+06,6.04E+06,7.63E-02,6.87E-02,9.00E-01,5.73E+08
0.8,8.80E+07,6.72E+06,6.05E+06,7.63E-02,6.88E-02,9.01E-01,5.35E+08
1.2,8.80E+07,6.72E+06,6.18E+06,7.63E-02,7.02E-02,9.20E-01,4.85E+08
1,8.80E+07,6.72E+06,6.07E+06,7.63E-02,6.90E-02,9.05E-01,5.10E+08
1.5,8.80E+07,6.72E+06,6.21E+06,7.63E-02,7.05E-02,9.24E-01,4.50E+08
2,8.80E+07,6.72E+06,6.34E+06,7.63E-02,7.20E-02,9.44E-01,3.91E+08
3,8.80E+07,6.68E+06,6.36E+06,7.59E-02,7.22E-02,9.52E-01,2.80E+08
