,Demand,Supply,Export,Supply/Demand,Export/Demand,Export/Supply,ObjVal
0.2,8.8E+05,9.8E+05,8.8E+05,1.11,1.00,0.90,5.1E+07
0.5,8.8E+05,9.9E+05,8.8E+05,1.13,1.00,0.89,6.0E+07
0.8,8.8E+05,1.1E+06,8.8E+05,1.22,1.00,0.82,6.1E+07
1,8.8E+05,1.2E+06,8.8E+05,1.36,1.00,0.74,6.2E+07
1.2,8.8E+05,1.2E+06,8.8E+05,1.41,1.00,0.71,6.3E+07
1.5,8.8E+05,1.3E+06,8.8E+05,1.49,1.00,0.67,6.3E+07
3,8.8E+05,1.6E+06,8.8E+05,1.86,1.00,0.54,6.6E+07
