,Demand,Supply,Export,Supply/Demand,Export/Demand,Export/Supply,ObjVal
0.2,105600000.0,1343013.5093735852,1208668.8439266514,0.01,0.01,0.9,65569288.600850284
0.5,105600000.0,3357533.7734339507,3021739.371038581,0.03,0.03,0.9,198013817.61321995
0.8,105600000.0,5372054.037494341,4836927.21895527,0.05,0.05,0.9004,371367013.0375571
1.0,105600000.0,6715067.546867901,6080173.327433493,0.06,0.06,0.9055,509699977.5345549
1.2,105600000.0,8058081.056241523,7476431.364830479,0.08,0.07,0.9278,667249461.2574704
1.5,105600000.0,10072601.320301916,9740080.351588711,0.1,0.09,0.967,940906849.1984651
3.0,105600000.0,20145202.640603833,20145183.238206785,0.19,0.19,1.0,3012713477.8528414
