,Demand,Supply,Export,Supply/Demand,Export/Demand,Export/Supply,ObjVal
0.2,8.80E+07,1.34E+06,1.21E+06,1.53E-02,1.37E-02,9.00E-01,6.56E+07
0.5,8.80E+07,3.36E+06,3.02E+06,3.82E-02,3.43E-02,9.00E-01,1.98E+08
0.8,8.80E+07,5.37E+06,4.83E+06,6.10E-02,5.49E-02,9.00E-01,3.71E+08
1,8.80E+07,6.72E+06,6.07E+06,7.63E-02,6.90E-02,9.05E-01,5.10E+08
1.2,8.80E+07,8.06E+06,7.47E+06,9.16E-02,8.48E-02,9.27E-01,6.67E+08
1.5,8.80E+07,1.01E+07,9.74E+06,1.15E-01,1.11E-01,9.67E-01,9.41E+08
3,8.80E+07,2.01E+07,2.01E+07,2.29E-01,2.29E-01,1.00E+00,3.01E+09
