glu_id,glu_nm,state_id,state_nm,glu_area,state_area,intersection_area,state_proportion,glu_proportion
232,New_England_Basin,23,Maine,2.06307E+11,91633386273,87099176618,0.95051793,0.422182091
227,Great_Lakes_Basin,36,New York,1.05711E+12,1.41296E+11,71238821656,0.504180904,0.067389964
228,Ohio_River_Basin,36,New York,4.2257E+11,1.41296E+11,5325340176,0.037689209,0.012602256
232,New_England_Basin,36,New York,2.06307E+11,1.41296E+11,424015883.7,0.003000902,0.002055265
233,Mid_Atlantic_Basin,36,New York,2.69734E+11,1.41296E+11,62869675003,0.444949661,0.233080589
217,California_River_Basin,32,Nevada,4.35164E+11,2.86377E+11,10616211827,0.03707079,0.024395893
221,Lower_Colorado_River_Basin,32,Nevada,4.1846E+11,2.86377E+11,31598591476,0.110339241,0.075511628
222,Great_Basin,32,Nevada,3.66973E+11,2.86377E+11,2.30055E+11,0.803328479,0.626898332
229,Pacific_Northwest_Basin,32,Nevada,8.28398E+11,2.86377E+11,14107344627,0.04926149,0.017029679
7,Pacific_and_Arctic_Coast,2,Alaska,2.36474E+12,1.72432E+12,1.63328E+12,0.947202374,0.690680954
185,South_Pacific_Islands,60,American Samoa,1.0904E+11,1505002933,362108033.2,1,0.003320877
218,Upper_Mississippi_Basin,26,Michigan,4.91644E+11,2.50487E+11,233076774,0.000930495,0.000474076
227,Great_Lakes_Basin,26,Michigan,1.05711E+12,2.50487E+11,2.50254E+11,0.999069505,0.236733151
219,Lower_Mississippi_River_Basin,5,Arkansas,2.69946E+11,1.37733E+11,67451615159,0.489727393,0.249871144
224,Arkansas_White_Red_Basin,5,Arkansas,6.47669E+11,1.37733E+11,70281368703,0.510272607,0.108514327
219,Lower_Mississippi_River_Basin,28,Mississippi,2.69946E+11,1.2546E+11,60320673461,0.480794313,0.223454926
226,South_Atlantic_Gulf_Basin,28,Mississippi,7.26765E+11,1.2546E+11,63244003928,0.504095125,0.087021254
230,Tennessee_River_Basin,28,Mississippi,1.06818E+11,1.2546E+11,880757902.9,0.007020203,0.008245405
218,Upper_Mississippi_Basin,29,Missouri,4.91644E+11,1.80539E+11,36609396963,0.202778142,0.074463206
219,Lower_Mississippi_River_Basin,29,Missouri,2.69946E+11,1.80539E+11,12812389668,0.070967369,0.047462858
223,Missouri_River_Basin,29,Missouri,1.35508E+12,1.80539E+11,95814004442,0.530710347,0.070707348
224,Arkansas_White_Red_Basin,29,Missouri,6.47669E+11,1.80539E+11,35285327148,0.195444166,0.054480492
228,Ohio_River_Basin,29,Missouri,4.2257E+11,1.80539E+11,17305803.51,9.59E-05,4.09537E-05
23,Saskatchewan_Nelson,30,Montana,1.1371E+12,3.80836E+11,1574730579,0.004134932,0.001384862
223,Missouri_River_Basin,30,Montana,1.35508E+12,3.80836E+11,3.14254E+11,0.825169513,0.231908472
229,Pacific_Northwest_Basin,30,Montana,8.28398E+11,3.80836E+11,65006666646,0.170694691,0.078472788
223,Missouri_River_Basin,20,Kansas,1.35508E+12,2.13099E+11,1.03349E+11,0.484981182,0.076268089
224,Arkansas_White_Red_Basin,20,Kansas,6.47669E+11,2.13099E+11,1.0975E+11,0.515018818,0.16945422
218,Upper_Mississippi_Basin,18,Indiana,4.91644E+11,94327303243,7728717190,0.081935102,0.015720146
227,Great_Lakes_Basin,18,Indiana,1.05711E+12,94327303243,9646334442,0.102264499,0.009125167
228,Ohio_River_Basin,18,Indiana,4.2257E+11,94327303243,76952741976,0.815805597,0.182106328
101,Caribbean,72,Puerto Rico,3.1223E+11,13791279349,12122994761,1,0.038827107
23,Saskatchewan_Nelson,46,South Dakota,1.1371E+12,1.9973E+11,1109392241,0.005554469,0.000975631
218,Upper_Mississippi_Basin,46,South Dakota,4.91644E+11,1.9973E+11,4025449910,0.020154491,0.008187731
223,Missouri_River_Basin,46,South Dakota,1.35508E+12,1.9973E+11,1.94595E+11,0.974291369,0.143604153
232,New_England_Basin,25,Massachusetts,2.06307E+11,27335051875,24083877796,0.881062085,0.116737979
233,Mid_Atlantic_Basin,25,Massachusetts,2.69734E+11,27335051875,593969795.8,0.021729236,0.002202061
226,South_Atlantic_Gulf_Basin,51,Virginia,7.26765E+11,1.10786E+11,28916418680,0.261010886,0.039787851
228,Ohio_River_Basin,51,Virginia,4.2257E+11,1.10786E+11,10541374074,0.095150558,0.024945842
230,Tennessee_River_Basin,51,Virginia,1.06818E+11,1.10786E+11,8123573363,0.073326545,0.076050588
233,Mid_Atlantic_Basin,51,Virginia,2.69734E+11,1.10786E+11,60794936059,0.548758831,0.225388783
233,Mid_Atlantic_Basin,11,District of Columbia,2.69734E+11,177027562.6,177027562.5,0.999999999,0.000656305
218,Upper_Mississippi_Basin,19,Iowa,4.91644E+11,1.45745E+11,99543721371,0.6829971,0.202471093
223,Missouri_River_Basin,19,Iowa,1.35508E+12,1.45745E+11,46201731076,0.3170029,0.034095244
96,Mexico_Northwest_Coast,4,Arizona,3.59501E+11,2.9522E+11,4366546110,0.014790827,0.01214613
220,Upper_Colorado_River_Basin,4,Arizona,2.93051E+11,2.9522E+11,16726585182,0.05665806,0.057077305
221,Lower_Colorado_River_Basin,4,Arizona,4.1846E+11,2.9522E+11,2.74273E+11,0.929044939,0.655433171
