,RiverToExport_0,RiverToExport_1,RiverToExport_2,RiverToExport_3,RiverToExport_4,RiverToExport_5,RiverToExport_6,RiverToExport_7
0,0.0,0.0,3182149744.571953,0.0,0.0,0.0,0.0,0.0
1,5617393367.565691,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,256324234.92039275,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4363788689.408147,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4900728695.295615,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1396987678.8819637,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6037579318.240432,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,14419625538.120989,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,13710139426.515612,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3178103515.211529,0.0,0.0,0.0,0.0,0.0,0.0,0.0
