Name,BasinName,Production,Ending,EndingRate
Agency Rail LLC,OilCrop_MissppRN,157941.75,6980.81,0.04419861807597113
Airial Construction,OilCrop_MissppRN,157941.75,4669.55,0.02956502956123668
"Alliance Builders And Construction, Inc.",OilCrop_MissppRN,157941.75,11340.64,0.07180269351810695
Artix Construction Inc,OilCrop_MissppRN,157941.75,2829.03,0.017911831712518634
Assumption Cooperative Grain,OilCrop_MissppRN,157941.75,12632.05,0.0799791742738494
Atkinson Grain & Fertilizer,OilCrop_MissppRN,157941.75,465.35,0.002946350150694188
B A B Grain,OilCrop_MissppRN,157941.75,15153.19,0.09594166634149467
Bridgeport Grain INC,OilCrop_OhioR,662639.0,46664.42,0.07042208234258314
Copper Construction Co,OilCrop_MissppRN,157941.75,14943.32,0.09461285859997373
Crea Construction,OilCrop_MissppRN,157941.75,1736.66,0.010995551761884836
Danvers Farmers Elevator,OilCrop_MissppRN,157941.75,15416.74,0.09761028892763907
Donovan Farmers Cooperative,OilCrop_MissppRN,157941.75,10638.42,0.06735661497021203
Eminence Grain & Coal CO,OilCrop_MissppRN,157941.75,9907.32,0.06272771396835394
Farmers Grain Company Of Latham,OilCrop_MissppRN,157941.75,6506.46,0.041195336309962485
Farmers Grain Service Inc,OilCrop_MissppRN,157941.75,4639.6,0.029375368068835138
Geneva Construction Co,OilCrop_MissppRN,157941.75,7831.05,0.04958185868976937
Goodwine Cooperative Grain Company,OilCrop_MissppRN,157941.75,11726.07,0.07424298220034528
Goodwine Cooperative Grain Company,OilCrop_MissppRN,157941.75,14416.86,0.09127957946306173
Grainland Cooperative,OilCrop_MissppRN,157941.75,419.68,0.0026571827777651324
Grainland Elevator,OilCrop_MissppRN,157941.75,11164.36,0.07068654868665243
Grand Prairie Cooperative Inc,OilCrop_OhioR,662639.0,15882.25,0.02396817845308622
Graymont Cooperative Association Grain ELEV,OilCrop_MissppRN,157941.75,7400.82,0.04685790726369773
Hartsburg Grain Company,OilCrop_MissppRN,157941.75,4926.42,0.03119138435887179
Heartland Construction,OilCrop_MissppRN,157941.75,4383.54,0.027754166043719587
Hometeam Group Inc,OilCrop_MissppRN,157941.75,9725.26,0.06157494795001487
Hudson Grain Co,OilCrop_MissppRN,157941.75,15602.6,0.09878707417471505
I D Construction,OilCrop_MissppRN,157941.75,11107.37,0.07032576874798543
Jayco Construction,OilCrop_MissppRN,157941.75,2492.68,0.015782256210455158
Jersey County Grain Company,OilCrop_MissppRN,157941.75,14396.44,0.09115033525534041
K T Richards Construction,OilCrop_MissppRN,157941.75,15403.67,0.0975275623331277
Kitchen Seed Co Inc,OilCrop_MissppRN,157941.75,9431.49,0.05971499543053739
Koehl Brothers Inc,OilCrop_MissppRN,157941.75,14520.15,0.09193360388359503
Legend Exterior & Construction,OilCrop_MissppRN,157941.75,10438.68,0.06609197271570587
Lincolnland Agri-Energy,OilCrop_OhioR,662639.0,58802.91,0.08874049655944126
Lumber 1 Construction,OilCrop_MissppRN,157941.75,4910.58,0.03109108366812059
Midwest Ingredients Inc,OilCrop_MissppRN,157941.75,6545.06,0.041439682275247594
Monica Elevator CO,OilCrop_MissppRN,157941.75,6917.67,0.04379889846767634
Northern Grain Marketing,OilCrop_MissppRN,157941.75,15081.29,0.09548642565366305
P&K Quality Construction,OilCrop_MissppRN,157941.75,2878.83,0.018227170901838664
