Name,LON,LAT,BasinName,Production,Ending,EndingRate
Clinton Feed & Grain,-90.531972,41.898036,OilCrop_MissppRN,3805.37,209.26,0.054989642198974086
Dandea Enterprises Inc,-91.599033,42.078966,OilCrop_MissppRN,3805.37,106.24,0.02791929896446619
Dunkerton Cooperative,-92.308832,42.470098,OilCrop_MissppRN,3805.37,192.63,0.050619713933433744
East Central Iowa Cooperative,-92.308832,42.470098,OilCrop_MissppRN,3805.37,249.53,0.06557212510774596
East Central Iowa Cooperative,-91.837854,42.470814,OilCrop_MissppRN,3805.37,221.02,0.058082343780641144
Farmers Cooperative,-93.240405,42.383881,OilCrop_MissppRN,3805.37,209.04,0.05493249900927897
Farmers Elevator & Exchange,-91.259615,41.218528,OilCrop_MissppRN,3805.37,16.1,0.004231551756227292
Gold Eagle Cooperative,-94.206724,43.204203,OilCrop_MissppRN,3805.37,139.52,0.03666441501335109
Gold Eagle Cooperative,-93.735145,42.733092,OilCrop_MissppRN,3805.37,154.03,0.04047796783479335
Gold Eagle Cooperative,-94.207168,42.776468,OilCrop_MissppRN,3805.37,137.42,0.0361115857504421
Gold-Eagle Cooperative,-93.735145,42.733092,OilCrop_MissppRN,3805.37,298.81,0.07852369059436903
Heartland Cooperative,-93.573539,41.685507,OilCrop_MissppRN,3805.37,321.84,0.08457420229782538
JUHL Feed Store,-94.396842,42.036249,OilCrop_MissppRN,3805.37,303.64,0.07979362540677679
Liquid Grow Tri Oak,-91.259615,41.218528,OilCrop_MissppRN,3805.37,38.42,0.010095437901015025
North Central Cooperative,-93.735145,42.733092,OilCrop_MissppRN,3805.37,253.05,0.06649706406478159
Professional Cooperative,-94.640411,42.385193,OilCrop_MissppRN,3805.37,147.85,0.038852190102282955
Pruess Elevator Inc,-91.132438,41.772328,OilCrop_MissppRN,3805.37,115.38,0.03032093847092986
Quality AG Service,-92.869011,41.029803,OilCrop_MissppRN,3805.37,317.78,0.0835095605425171
Reiff Grain & Feed Inc,-91.948896,41.031777,OilCrop_MissppRN,3805.37,277.74,0.07298619564688331
Shellsburg Elevator,-92.06575,42.080194,OilCrop_MissppRN,3805.37,89.67,0.023563129108022808
State Line Cooperative Elevator,-94.206724,43.204203,OilCrop_MissppRN,3805.37,281.47,0.07396685267093503
Tama Benton Cooperative Company,-92.532561,42.079818,OilCrop_MissppRN,3805.37,254.33,0.0668340309848893
Tri-States Grain Conditioning,-95.150889,43.377919,OilCrop_MissouriR,47074.36,4044.3,0.08591302558115842
Agassiz Valley Grain,-96.490659,46.892358,OilCrop_NelsonR,1478.78,67.19,0.04543407771668906
All American Cooperative,-92.401759,44.003767,OilCrop_MissppRN,3805.37,319.07,0.08384675416034193
All American Cooperative,-92.401759,44.003767,OilCrop_MissppRN,3805.37,132.9,0.034924868436849076
All-American Cooperative Viola,-92.401759,44.003767,OilCrop_MissppRN,3805.37,98.39,0.02585505770627785
Bellingham Fertilizer Plant,-96.173524,44.995482,OilCrop_MissppRN,3805.37,22.1,0.005807025288368062
Bird Island Bean Company,-94.947128,44.726822,OilCrop_MissppRN,3805.37,161.34,0.04239794521056321
C-W Valley Cooperative,-96.468335,46.357069,OilCrop_NelsonR,1478.78,6.95,0.00469676688606635
C-W Valley Cooperative - Comstock Elevator,-96.468335,46.357069,OilCrop_NelsonR,1478.78,105.23,0.07115739836965788
Canby Farmers Grain Company,-95.868371,44.716256,OilCrop_MissppRN,3805.37,332.92,0.08748622960469014
Dawson Grain Cooperative,-96.173524,44.995482,OilCrop_MissppRN,3805.37,372.99,0.09801620199349806
Elbow Lake Cooperative Grain Company,-96.012183,45.934059,OilCrop_NelsonR,1478.78,145.2,0.09819172822378937
Farm Service Elevator,-95.004726,45.152377,OilCrop_MissppRN,3805.37,299.21,0.07862760917466803
Farmers Cooperative of Hanska - Main Office - Hanska,-94.727601,44.242145,OilCrop_MissppRN,3805.37,310.52,0.0816012016233208
Farmers Mill & Elevator Inc,-93.065442,44.671878,OilCrop_MissppRN,3805.37,131.42,0.03453635929740292
Forsbergs Inc,-96.036709,48.06624,OilCrop_NelsonR,1478.78,16.46,0.011129047240261447
Humboldt-St Vincent Elevator,-96.782876,48.776639,OilCrop_NelsonR,1478.78,9.55,0.006460260223139736
K & S Millwrights Inc,-94.947128,44.726822,OilCrop_MissppRN,3805.37,204.04,0.05361876835644843
Munson Lakes Nutrition,-93.963063,45.173958,OilCrop_MissppRN,3805.37,223.7,0.05878662745698458
Prairie Grain Partners LLC,-95.868371,44.716256,OilCrop_MissppRN,3805.37,123.48,0.03244944039496957
Prairie Lakes Cooperative Elevator,-95.444511,45.586009,OilCrop_MissppRN,3805.37,286.6,0.07531496863400744
Prinsburg Farmers Cooperative,-95.004726,45.152377,OilCrop_MissppRN,3805.37,289.21,0.07599985880487403
Profile Industries Inc,-93.476896,45.004583,OilCrop_MissppRN,3805.37,222.42,0.05844894728168672
Rapat Corporation,-96.490659,46.892358,OilCrop_NelsonR,1478.78,8.87,0.005995137926871885
Red River Grain Company,-96.468335,46.357069,OilCrop_NelsonR,1478.78,144.29,0.09757382301790862
River Region Cooperative - Main Office,-94.727601,44.242145,OilCrop_MissppRN,3805.37,177.34,0.046603150526154304
South Central Grain & Energy,-94.947128,44.726822,OilCrop_MissppRN,3805.37,73.5,0.019315879512585343
UAS Service Corporation,-96.490659,46.892358,OilCrop_NelsonR,1478.78,33.25,0.02248771277025784
Van AHN & CO Inc,-95.453537,45.933732,OilCrop_MissppRN,3805.37,23.51,0.006176952464966678
Waconia Manufacturing,-93.802607,44.820798,OilCrop_MissppRN,3805.37,343.27,0.09020766296219808
Western Consolidated Cooperative,-95.681449,45.282694,OilCrop_MissppRN,3805.37,325.0,0.08540484002590551
Boyd Grain Inc,-87.07205,38.702413,OilCrop_OhioR,9571.25,335.03,0.0350034027865628
Riley Equipment Inc,-87.41803,38.689077,OilCrop_OhioR,9571.25,312.44,0.032643486109582266
Agrex Inc,-98.047196,40.176396,OilCrop_MissouriR,47074.36,721.63,0.015329565023269664
Batterton Waterproofing Inc,-97.597126,40.872749,OilCrop_MissouriR,47074.36,3766.27,0.08000672496244612
Central Valley AG,-96.654014,41.577912,OilCrop_MissouriR,47074.36,340.66,0.007236591633532519
Cooperative Supply,-97.086476,41.574018,OilCrop_MissouriR,47074.36,3072.52,0.06526957105946482
Cooperative Supply Inc,-96.654014,41.577912,OilCrop_MissouriR,47074.36,1359.67,0.02888337914921202
Cooperative Supply Inc,-96.654014,41.577912,OilCrop_MissouriR,47074.36,3233.18,0.06868245298566081
Country Partners Cooperative,-98.067249,41.706791,OilCrop_MissouriR,47074.36,3121.16,0.06630275688015953
Country Partners Cooperative Company,-98.067249,41.706791,OilCrop_MissouriR,47074.36,3843.39,0.08164515658307679
Crossroads Cooperative Association,-102.994967,41.219774,OilCrop_MissouriR,47074.36,3454.34,0.07338049385396336
Crossroads Cooperative Association,-102.994967,41.219774,OilCrop_MissouriR,47074.36,2228.17,0.04733287942229271
CTEC Inc,-97.597126,40.872749,OilCrop_MissouriR,47074.36,1582.6,0.033619250273980696
Grain States Soya Inc,-96.787394,41.916406,OilCrop_MissouriR,47074.36,108.21,0.002298630559600412
J E Meuret Grain Company,-98.066694,42.176915,OilCrop_MissouriR,47074.36,2033.8,0.04320403463569507
Kaapa Ethanol LLC,-98.948023,40.50671,OilCrop_MissouriR,47074.36,3897.73,0.08279933208251675
Kaapa Grains,-99.074987,40.855162,OilCrop_MissouriR,47074.36,1012.38,0.02150591046724387
Midwest Farmers Cooperative,-96.140884,40.909719,OilCrop_MissouriR,47074.36,1106.62,0.023507926914477027
Pride Grain,-99.92951,42.430005,OilCrop_MissouriR,47074.36,3593.22,0.07633074747419073
Shickley Grain CO Inc,-97.596508,40.524664,OilCrop_MissouriR,47074.36,1526.48,0.03242695689371837
Andersons Investment Service,-83.658294,41.61992,OilCrop_GreatLakes,16797.75,1381.9,0.08226690663456779
Creamer Metal Products Inc,-83.400207,39.894025,OilCrop_OhioR,9571.25,764.41,0.07986558557357352
Deerfield Farms Service,-81.197405,41.167681,OilCrop_OhioR,9571.25,676.7,0.07070096308245967
Elgin Service Center,-84.588163,41.560323,OilCrop_GreatLakes,16797.75,1061.31,0.0631814548712201
Farmers Elevator Grain & SUPL,-84.068235,41.333886,OilCrop_GreatLakes,16797.75,806.16,0.04799204580819601
Gerald Grain Center,-84.068235,41.333886,OilCrop_GreatLakes,16797.75,1624.92,0.09673446958566721
Hicksville Grain Company,-84.49048,41.323924,OilCrop_GreatLakes,16797.75,987.49,0.05878706550839642
Jewell Grain Company,-84.49048,41.323924,OilCrop_GreatLakes,16797.75,1239.6,0.07379569594034563
Keller Grain & Feed Inc,-84.619409,40.133276,OilCrop_OhioR,9571.25,327.46,0.03421335666278508
Pandora Grain & Supply,-84.131732,41.022129,OilCrop_GreatLakes,16797.75,1049.03,0.06245043284892016
Scott Equity Exchange,-84.586121,40.855415,OilCrop_GreatLakes,16797.75,1497.08,0.08912383543373913
Bewley ConStruction LLC,-93.188865,36.969576,OilCrop_ArkWhtRedR,22330.42,1643.73,0.0736094425822971
Butterfield & Associates Grain Inc,-93.107206,39.87021,OilCrop_MissouriR,47074.36,3368.61,0.07155939276395548
Cameron Cooperative Elevator Association - Mill & Office,-94.404592,39.60178,OilCrop_MissouriR,47074.36,2449.7,0.05203893154829699
"Capital Electric Line Builders, Inc.",-94.773824,39.3803,OilCrop_MissouriR,47074.36,832.67,0.01768834636164037
Centric Projects LLC,-94.346142,39.00848,OilCrop_MissouriR,47074.36,2109.95,0.04482158384269913
Feed Products & Service Co,-90.443353,38.640542,OilCrop_MissppRN,3805.37,285.98,0.07515108918851589
