,RailToExport_0,RailToExport_1,RailToExport_2,RailToExport_3,RailToExport_4,RailToExport_5,RailToExport_6,RailToExport_7
0,0.0,0.0,2328216587.3491197,0.0,0.0,0.0,0.0,0.0
1,4659313624.287682,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,4044756363.376103,0.0,0.0,0.0,0.0,0.0
3,5819043299.507865,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,13038589976.744392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,5764575050.453604,0.0,0.0,0.0,0.0,0.0,0.0
