,RiverToExport_0,RiverToExport_1,RiverToExport_2,RiverToExport_3,RiverToExport_4,RiverToExport_5,RiverToExport_6,RiverToExport_7
0,1928873760.0759945,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,314368722.235409,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1320529003.3570454,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,4815485550.798102,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,15011045881.372902,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,803760216.9099395,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
