Scenario,Year,Rates,Demand_China,Demand_ROW,OBJ_Values,Revenue_Total,Cost_Total,Cost_Operation,Cost_Holding,Cost_Facility,Cost_Barges,Cost_Rails,Cost_BExport,Cost_SExport,Cost_Oceans,Total_production,Inventory,Quantity_X_Facility,Quantity_X_Country_Stream,Quantity_X_Country_Rail,Quantity_Y_Stream_Export,Quantity_Y_Rail_Export,Quantity_Z_Export_Import,China_Price,ROW_Price,Revenue_Domestic,Revenue_China,Revenue_Row,Subsidy,Tax,Runtime
SSP2,2085,1_1_1_10,1095727239,2103796298,865407380689407,866954540447817,1547159758407,1798019770,35958986640,5075852767,8349295235,51175337671,26086405037,66698213186,1352017648097,4116698572,719179732,197995302,757662048,2441861489,757662048,2441861489,3199523537,2269,984,862277369076385,2487094643679,2071279546431,118797181318,1,18.068723678588867
SSP2,2085,1_1_1_10,2191454478,1753163582,754112946932527,755958520816234,1845573883706,1798019770,0,4115587939,19230990219,68858481883,27978167483,101275416436,1622317219974,4116698572,0,172080512,1037896168,2906721892,1037896168,2906721892,3944618060,2061,1086,749417435180443,4517954378061,1904334076409,118797181318,0,20.63767433166504
