,RiverToExport_0,RiverToExport_1,RiverToExport_2,RiverToExport_3,RiverToExport_4,RiverToExport_5,RiverToExport_6,RiverToExport_7,I_Stream
0,0.0,0.0,0.0,0.0,0.0,258194.25,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,27398.663999999997,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,42366.924,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,127100.772,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,127100.772,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,211834.62,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,972774.4604031929,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,89253.828,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,205594.06500000024,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,25832.614534251392,0.0,0.0,9.760465748608112
