,RailToExport_0,RailToExport_1,RailToExport_2,RailToExport_3,RailToExport_4,RailToExport_5,RailToExport_6,RailToExport_7,I_Rail
0,0.0,0.0,91573.85059298616,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,118554.14901073297,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,432642.996052164,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,200812.23688350298,0.0,0.0,0.0,0.0
4,2335741.4531841152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,377837.62416449847,0.0,0.0,0.0,0.0
