,RiverToExport_0,RiverToExport_1,RiverToExport_2,RiverToExport_3,RiverToExport_4,RiverToExport_5,RiverToExport_6,RiverToExport_7,I_Stream
0,427566.64879548294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,45113.08189483945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,225565.40947419725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1026291.5408932271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,6970538.733879465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,62396.92053196473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
