,RailToExport_0,RailToExport_1,RailToExport_2,RailToExport_3,I_Rail
0,0.0,0.0,0.0,0.0,0.0
1,0.0,91078.09997436941,0.0,0.0,0.0
2,196368.37360443315,0.0,0.0,0.0,0.0
3,0.0,0.0,836281.9692349789,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
