Scenario,Year,Rates,OBJ_vaules,Cost_Farmers,Cost_Barges,Cost_Rails,Cost_Oceans,Total_production,Quantity_X_Facility,Quantity_X_Country_Stream,Quantity_X_Country_Rail,Quantity_Y_Stream_Export,Quantity_Y_Rail_Export,Quantity_Z_Export_Import,Demand
SSP3,1990,0.5_0.5_0.5_0.5,1272869915784,650799493849,99202045235,89989804146,428932883439,37099777725,11129933317,7981387186,11582184001,7981387186,11582184001,19563571187,9414617
SSP3,1990,0.5_0.5_0.5_1,1696717633927,652527880284,95026203269,109775714264,835442146994,37099777725,11129933317,7632954668,11930616519,7632954668,11930616519,19563571187,9414617
SSP3,1990,0.5_0.5_0.5_5,4943673408616,716399849887,28926613125,216163749174,3978237507314,37099777725,11129933317,2112944410,17450626776,2112944410,17450626776,19563571187,9414617
SSP3,1990,0.5_0.5_0.5_10,8890861595058,753154344587,8330843015,241309626575,7884121091765,37099777725,11129933317,394432048,19169139139,394432048,19169139139,19563571187,9414617
SSP3,1990,0.5_0.5_1_0.5,1352658244732,645765447352,146671876377,125232206723,431043025165,37099777725,11129933317,11419426438,8144144749,11419426438,8144144749,19563571187,9414617
SSP3,1990,0.5_0.5_1_1,1783322813420,645177967472,145392799596,128672810843,860133546393,37099777725,11129933317,11312700190,8250870996,11312700190,8250870996,19563571187,9414617
SSP3,1990,0.5_0.5_1_5,5125401710464,665734434242,90699231248,299813092456,4065209263402,37099777725,11129933317,6929190946,12634380241,6929190946,12634380241,19563571187,9414617
SSP3,1990,0.5_0.5_1_10,9120664979549,731750904357,80203735978,416486842762,7888277807335,37099777725,11129933317,2192305244,17371265942,2192305244,17371265942,19563571187,9414617
SSP3,1990,0.5_0.5_5_0.5,1395412437408,702839471613,252041866167,1061296795,435524113717,37099777725,11129933317,19462000361,101570825,19462000361,101570825,19563571187,9414617
SSP3,1990,0.5_0.5_5_1,1828866899660,702763512887,255572713709,0,866584983949,37099777725,11129933317,19563571187,0,19563571187,0,19563571187,9414617
SSP3,1990,0.5_0.5_5_5,5247601872251,714397630032,353587088284,0,4175671464819,37099777725,11129933317,19563571187,0,19563571187,0,19563571187,9414617
SSP3,1990,0.5_0.5_5_10,9336917760826,750860838782,599288205363,0,7982823027565,37099777725,11129933317,19563571187,0,19563571187,0,19563571187,9414617
SSP3,1990,0.5_0.5_10_0.5,1395574407686,702763512887,255572713709,0,433292491974,37099777725,11129933317,19563571187,0,19563571187,0,19563571187,9414617
SSP3,1990,0.5_0.5_10_1,1828866899660,702763512887,255572713709,0,866584983949,37099777725,11129933317,19563571187,0,19563571187,0,19563571187,9414617
SSP3,1990,0.5_0.5_10_5,5247601872251,714397630032,353587088284,0,4175671464819,37099777725,11129933317,19563571187,0,19563571187,0,19563571187,9414617
SSP3,1990,0.5_0.5_10_10,9336917760826,750860838782,599288205363,0,7982823027565,37099777725,11129933317,19563571187,0,19563571187,0,19563571187,9414617
SSP3,1990,0.5_1_0.5_0.5,1329064796286,723232555998,37267991520,137323114863,427295444789,37099777725,11129933317,1554821786,18008749401,1554821786,18008749401,19563571187,9414617
SSP3,1990,0.5_1_0.5_1,1750632144815,724569944378,35290039830,162576038172,824250433319,37099777725,11129933317,1472301579,18091269608,1472301579,18091269608,19563571187,9414617
SSP3,1990,0.5_1_0.5_5,4949216518725,759029375032,0,242028796850,3944212657728,37099777725,11129933317,0,19563571187,0,19563571187,19563571187,9414617
SSP3,1990,0.5_1_0.5_10,8891731423865,758462192958,0,245202450026,7884121091765,37099777725,11129933317,0,19563571187,0,19563571187,19563571187,9414617
SSP3,1990,0.5_1_1_0.5,1452059758190,671035152432,138821066759,207867660055,430390189828,37099777725,11129933317,5791619301,13771951886,5791619301,13771951886,19563571187,9414617
SSP3,1990,0.5_1_1_1,1881930961902,671974853151,135466417146,213642224045,856901778443,37099777725,11129933317,5651663213,13911907974,5651663213,13911907974,19563571187,9414617
SSP3,1990,0.5_1_1_5,5181435949909,731995631258,40542320465,427276322746,3977675986323,37099777725,11129933317,1691426893,17872144293,1691426893,17872144293,19563571187,9414617
SSP3,1990,0.5_1_1_10,9131678935362,769285304661,0,470170134251,7888277807335,37099777725,11129933317,0,19563571187,0,19563571187,19563571187,9414617
SSP3,1990,0.5_1_5_0.5,1635674602797,699086184819,463826113421,11449307949,457367307492,37099777725,11129933317,18467821470,1095749716,18467821470,1095749716,19563571187,9414617
SSP3,1990,0.5_1_5_1,2075327408787,714706267438,490090468284,0,866584983949,37099777725,11129933317,19563571187,0,19563571187,0,19563571187,9414617
SSP3,1990,0.5_1_5_5,5538072852219,714709061620,526452009639,0,4292966091844,37099777725,11129933317,19563571187,0,19563571187,0,19563571187,9414617
