,Demand,Supply,Export,Supply/Demand,Export/Demand,Export/Supply,ObjVal
0.2,8.8E+06,1.3E+06,1.2E+06,0.15,0.14,0.90,6.6E+07
0.5,8.8E+06,3.4E+06,3.0E+06,0.38,0.34,0.90,2.0E+08
0.8,8.8E+06,5.4E+06,4.8E+06,0.61,0.55,0.90,3.7E+08
1,8.8E+06,6.7E+06,6.1E+06,0.76,0.69,0.90,5.1E+08
1.2,8.8E+06,8.1E+06,7.5E+06,0.92,0.85,0.93,6.7E+08
1.5,8.8E+06,9.8E+06,8.8E+06,1.11,1.00,0.90,9.0E+08
3,8.8E+06,9.8E+06,8.8E+06,1.11,1.00,0.90,1.0E+09
