,RiverToExport_0,RiverToExport_1,RiverToExport_2,RiverToExport_3,RiverToExport_4,RiverToExport_5,RiverToExport_6,RiverToExport_7
0,2321338372.1115284,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,344222767.1232317,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1746101246.2261586,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,5720257795.435237,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,19286184709.64014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,804922771.4796551,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
