scenario,subregion,management,level,2050
SSP4,Arkansas_White_Red_Basin,IRR,hi,-0.00713972
SSP4,Great_Lakes_Basin,IRR,hi,0.0016044
SSP4,Missouri_River_Basin,IRR,hi,-0.0612827
SSP4,Upper_Mississippi_Basin,IRR,hi,0.000142
SSP4,Saskatchewan_Nelson,IRR,hi,0.00146
SSP4,Ohio_River_Basin,IRR,hi,0.000914
SSP4,Arkansas_White_Red_Basin,IRR,hi,-0.00713972
SSP4,Great_Lakes_Basin,IRR,hi,0.0016044
SSP4,Missouri_River_Basin,IRR,hi,-0.0612827
SSP4,Upper_Mississippi_Basin,IRR,hi,0.000142
SSP4,Saskatchewan_Nelson,IRR,hi,0.00146
SSP4,Ohio_River_Basin,IRR,hi,0.000914
