scenario,subregion,management,level,2025
SSP4,Arkansas_White_Red_Basin,IRR,hi,-0.0685758
SSP4,Great_Lakes_Basin,IRR,hi,-0.00376012
SSP4,Missouri_River_Basin,IRR,hi,-0.271921
SSP4,Upper_Mississippi_Basin,IRR,hi,-0.00549
SSP4,Saskatchewan_Nelson,IRR,hi,-0.00153863
SSP4,Ohio_River_Basin,IRR,hi,-0.00321
SSP4,Arkansas_White_Red_Basin,IRR,hi,-0.0685758
SSP4,Great_Lakes_Basin,IRR,hi,-0.00376012
SSP4,Missouri_River_Basin,IRR,hi,-0.271921
SSP4,Upper_Mississippi_Basin,IRR,hi,-0.00549
SSP4,Saskatchewan_Nelson,IRR,hi,-0.00153863
SSP4,Ohio_River_Basin,IRR,hi,-0.00321
