scenario,subregion,management,level,2050
SSP2,Arkansas_White_Red_Basin,IRR,hi,0.679745
SSP2,Great_Lakes_Basin,IRR,hi,0.145953
SSP2,Missouri_River_Basin,IRR,hi,3.13149
SSP2,Upper_Mississippi_Basin,IRR,hi,0.446877
SSP2,Saskatchewan_Nelson,IRR,hi,0.0386748
SSP2,Ohio_River_Basin,IRR,hi,0.105809
