scenario,subregion,management,level,2040
SSP4,Arkansas_White_Red_Basin,IRR,hi,0.034
SSP4,Great_Lakes_Basin,IRR,hi,0.00817222
SSP4,Missouri_River_Basin,IRR,hi,0.049491
SSP4,Upper_Mississippi_Basin,IRR,hi,0.0076
SSP4,Saskatchewan_Nelson,IRR,hi,0.00336656
SSP4,Ohio_River_Basin,IRR,hi,0.00417
SSP4,Arkansas_White_Red_Basin,IRR,hi,0.034
SSP4,Great_Lakes_Basin,IRR,hi,0.00817222
SSP4,Missouri_River_Basin,IRR,hi,0.049491
SSP4,Upper_Mississippi_Basin,IRR,hi,0.0076
SSP4,Saskatchewan_Nelson,IRR,hi,0.00336656
SSP4,Ohio_River_Basin,IRR,hi,0.00417
