scenario,subregion,management,level,2040,ssps_max,ssps_min
SSP4,Arkansas_White_Red_Basin,RFD,hi,-0.273,2.46113,-5.08
SSP4,Great_Lakes_Basin,RFD,hi,-0.577765,2.46113,-5.08
SSP4,Missouri_River_Basin,RFD,hi,-2.5,2.46113,-5.08
SSP4,Upper_Mississippi_Basin,RFD,hi,-3.0504,2.46113,-5.08
SSP4,Saskatchewan_Nelson,RFD,hi,0.0726,2.46113,-5.08
SSP4,Ohio_River_Basin,RFD,hi,-1.45206,2.46113,-5.08
SSP4,Arkansas_White_Red_Basin,RFD,hi,-0.273,2.46113,-5.08
SSP4,Great_Lakes_Basin,RFD,hi,-0.577765,2.46113,-5.08
SSP4,Missouri_River_Basin,RFD,hi,-2.5,2.46113,-5.08
SSP4,Upper_Mississippi_Basin,RFD,hi,-3.0504,2.46113,-5.08
SSP4,Saskatchewan_Nelson,RFD,hi,0.0726,2.46113,-5.08
SSP4,Ohio_River_Basin,RFD,hi,-1.45206,2.46113,-5.08
