scenario,subregion,management,level,2045,ssps_max,ssps_min
SSP4,Arkansas_White_Red_Basin,IRR,lo,0.0233336,2.84041,-6.12
SSP4,Great_Lakes_Basin,IRR,lo,0.00743505,2.84041,-6.12
SSP4,Missouri_River_Basin,IRR,lo,0.0525629,2.84041,-6.12
SSP4,Upper_Mississippi_Basin,IRR,lo,0.00958,2.84041,-6.12
SSP4,Saskatchewan_Nelson,IRR,lo,0.00318496,2.84041,-6.12
SSP4,Ohio_River_Basin,IRR,lo,0.00433,2.84041,-6.12
SSP4,Arkansas_White_Red_Basin,IRR,lo,0.0233336,2.84041,-6.12
SSP4,Great_Lakes_Basin,IRR,lo,0.00743505,2.84041,-6.12
SSP4,Missouri_River_Basin,IRR,lo,0.0525629,2.84041,-6.12
SSP4,Upper_Mississippi_Basin,IRR,lo,0.00958,2.84041,-6.12
SSP4,Saskatchewan_Nelson,IRR,lo,0.00318496,2.84041,-6.12
SSP4,Ohio_River_Basin,IRR,lo,0.00433,2.84041,-6.12
