scenario,subregion,management,level,2040,ssps_max,ssps_min
SSP4,Arkansas_White_Red_Basin,RFD,lo,0.0994,2.46113,-5.08
SSP4,Great_Lakes_Basin,RFD,lo,0.342792,2.46113,-5.08
SSP4,Missouri_River_Basin,RFD,lo,0.37,2.46113,-5.08
SSP4,Upper_Mississippi_Basin,RFD,lo,0.648089,2.46113,-5.08
SSP4,Saskatchewan_Nelson,RFD,lo,0.518,2.46113,-5.08
SSP4,Ohio_River_Basin,RFD,lo,0.595427,2.46113,-5.08
SSP4,Arkansas_White_Red_Basin,RFD,lo,0.0994,2.46113,-5.08
SSP4,Great_Lakes_Basin,RFD,lo,0.342792,2.46113,-5.08
SSP4,Missouri_River_Basin,RFD,lo,0.37,2.46113,-5.08
SSP4,Upper_Mississippi_Basin,RFD,lo,0.648089,2.46113,-5.08
SSP4,Saskatchewan_Nelson,RFD,lo,0.518,2.46113,-5.08
SSP4,Ohio_River_Basin,RFD,lo,0.595427,2.46113,-5.08
