scenario,subregion,management,level,2040
SSP1,Arkansas_White_Red_Basin,IRR,hi,1.33514
SSP1,Great_Lakes_Basin,IRR,hi,0.235
SSP1,Missouri_River_Basin,IRR,hi,4.78822
SSP1,Upper_Mississippi_Basin,IRR,hi,0.433
SSP1,Saskatchewan_Nelson,IRR,hi,0.0632572
SSP1,Ohio_River_Basin,IRR,hi,0.15
