scenario,subregion,management,level,2050
SSP1,Arkansas_White_Red_Basin,IRR,hi,1.56
SSP1,Great_Lakes_Basin,IRR,hi,0.13606
SSP1,Missouri_River_Basin,IRR,hi,4.09544
SSP1,Upper_Mississippi_Basin,IRR,hi,0.341899
SSP1,Saskatchewan_Nelson,IRR,hi,0.0494
SSP1,Ohio_River_Basin,IRR,hi,0.0977192
