scenario,subregion,management,level,2035,ssps_max,ssps_min
SSP4,Arkansas_White_Red_Basin,RFD,hi,-0.214,2.39503,-4.7
SSP4,Great_Lakes_Basin,RFD,hi,-0.423919,2.39503,-4.7
SSP4,Missouri_River_Basin,RFD,hi,-2.28,2.39503,-4.7
SSP4,Upper_Mississippi_Basin,RFD,hi,-2.41429,2.39503,-4.7
SSP4,Saskatchewan_Nelson,RFD,hi,0.142,2.39503,-4.7
SSP4,Ohio_River_Basin,RFD,hi,-1.13026,2.39503,-4.7
SSP4,Arkansas_White_Red_Basin,RFD,hi,-0.214,2.39503,-4.7
SSP4,Great_Lakes_Basin,RFD,hi,-0.423919,2.39503,-4.7
SSP4,Missouri_River_Basin,RFD,hi,-2.28,2.39503,-4.7
SSP4,Upper_Mississippi_Basin,RFD,hi,-2.41429,2.39503,-4.7
SSP4,Saskatchewan_Nelson,RFD,hi,0.142,2.39503,-4.7
SSP4,Ohio_River_Basin,RFD,hi,-1.13026,2.39503,-4.7
