scenario,subregion,management,level,2035,ssps_max,ssps_min
SSP4,Arkansas_White_Red_Basin,RFD,lo,0.135,2.39503,-4.7
SSP4,Great_Lakes_Basin,RFD,lo,0.439602,2.39503,-4.7
SSP4,Missouri_River_Basin,RFD,lo,0.461,2.39503,-4.7
SSP4,Upper_Mississippi_Basin,RFD,lo,1.01065,2.39503,-4.7
SSP4,Saskatchewan_Nelson,RFD,lo,0.616,2.39503,-4.7
SSP4,Ohio_River_Basin,RFD,lo,0.782508,2.39503,-4.7
SSP4,Arkansas_White_Red_Basin,RFD,lo,0.135,2.39503,-4.7
SSP4,Great_Lakes_Basin,RFD,lo,0.439602,2.39503,-4.7
SSP4,Missouri_River_Basin,RFD,lo,0.461,2.39503,-4.7
SSP4,Upper_Mississippi_Basin,RFD,lo,1.01065,2.39503,-4.7
SSP4,Saskatchewan_Nelson,RFD,lo,0.616,2.39503,-4.7
SSP4,Ohio_River_Basin,RFD,lo,0.782508,2.39503,-4.7
