scenario,subregion,management,level,2050,ssps_max,ssps_min
SSP4,Arkansas_White_Red_Basin,IRR,lo,0.0197521,3.21671,-5.83
SSP4,Great_Lakes_Basin,IRR,lo,0.00665716,3.21671,-5.83
SSP4,Missouri_River_Basin,IRR,lo,0.0503728,3.21671,-5.83
SSP4,Upper_Mississippi_Basin,IRR,lo,0.01,3.21671,-5.83
SSP4,Saskatchewan_Nelson,IRR,lo,0.0027657,3.21671,-5.83
SSP4,Ohio_River_Basin,IRR,lo,0.00416,3.21671,-5.83
SSP4,Arkansas_White_Red_Basin,IRR,lo,0.0197521,3.21671,-5.83
SSP4,Great_Lakes_Basin,IRR,lo,0.00665716,3.21671,-5.83
SSP4,Missouri_River_Basin,IRR,lo,0.0503728,3.21671,-5.83
SSP4,Upper_Mississippi_Basin,IRR,lo,0.01,3.21671,-5.83
SSP4,Saskatchewan_Nelson,IRR,lo,0.0027657,3.21671,-5.83
SSP4,Ohio_River_Basin,IRR,lo,0.00416,3.21671,-5.83
