scenario,subregion,management,level,2025,ssps_max,ssps_min
SSP4,Arkansas_White_Red_Basin,IRR,lo,-0.0172315,1.02808,-5.05
SSP4,Great_Lakes_Basin,IRR,lo,0.00565386,1.02808,-5.05
SSP4,Missouri_River_Basin,IRR,lo,-0.0826207,1.02808,-5.05
SSP4,Upper_Mississippi_Basin,IRR,lo,0.0119,1.02808,-5.05
SSP4,Saskatchewan_Nelson,IRR,lo,0.00157988,1.02808,-5.05
SSP4,Ohio_River_Basin,IRR,lo,0.00279,1.02808,-5.05
SSP4,Arkansas_White_Red_Basin,IRR,lo,-0.0172315,1.02808,-5.05
SSP4,Great_Lakes_Basin,IRR,lo,0.00565386,1.02808,-5.05
SSP4,Missouri_River_Basin,IRR,lo,-0.0826207,1.02808,-5.05
SSP4,Upper_Mississippi_Basin,IRR,lo,0.0119,1.02808,-5.05
SSP4,Saskatchewan_Nelson,IRR,lo,0.00157988,1.02808,-5.05
SSP4,Ohio_River_Basin,IRR,lo,0.00279,1.02808,-5.05
