scenario,subregion,management,level,2045,ssps_max,ssps_min
SSP4,Arkansas_White_Red_Basin,RFD,hi,-0.462,2.84041,-6.12
SSP4,Great_Lakes_Basin,RFD,hi,-0.950131,2.84041,-6.12
SSP4,Missouri_River_Basin,RFD,hi,-3.73,2.84041,-6.12
SSP4,Upper_Mississippi_Basin,RFD,hi,-4.22472,2.84041,-6.12
SSP4,Saskatchewan_Nelson,RFD,hi,-0.201,2.84041,-6.12
SSP4,Ohio_River_Basin,RFD,hi,-2.1876,2.84041,-6.12
SSP4,Arkansas_White_Red_Basin,RFD,hi,-0.462,2.84041,-6.12
SSP4,Great_Lakes_Basin,RFD,hi,-0.950131,2.84041,-6.12
SSP4,Missouri_River_Basin,RFD,hi,-3.73,2.84041,-6.12
SSP4,Upper_Mississippi_Basin,RFD,hi,-4.22472,2.84041,-6.12
SSP4,Saskatchewan_Nelson,RFD,hi,-0.201,2.84041,-6.12
SSP4,Ohio_River_Basin,RFD,hi,-2.1876,2.84041,-6.12
