scenario,subregion,management,level,2040,ssps_max,ssps_min
SSP4,Arkansas_White_Red_Basin,IRR,lo,0.0431082,2.46113,-5.08
SSP4,Great_Lakes_Basin,IRR,lo,0.0101947,2.46113,-5.08
SSP4,Missouri_River_Basin,IRR,lo,0.0959219,2.46113,-5.08
SSP4,Upper_Mississippi_Basin,IRR,lo,0.012,2.46113,-5.08
SSP4,Saskatchewan_Nelson,IRR,lo,0.00396869,2.46113,-5.08
SSP4,Ohio_River_Basin,IRR,lo,0.00553,2.46113,-5.08
SSP4,Arkansas_White_Red_Basin,IRR,lo,0.0431082,2.46113,-5.08
SSP4,Great_Lakes_Basin,IRR,lo,0.0101947,2.46113,-5.08
SSP4,Missouri_River_Basin,IRR,lo,0.0959219,2.46113,-5.08
SSP4,Upper_Mississippi_Basin,IRR,lo,0.012,2.46113,-5.08
SSP4,Saskatchewan_Nelson,IRR,lo,0.00396869,2.46113,-5.08
SSP4,Ohio_River_Basin,IRR,lo,0.00553,2.46113,-5.08
