scenario,subregion,management,level,2035,ssps_max,ssps_min
SSP4,Arkansas_White_Red_Basin,RFD,hi,0.341388,35.4239,0.0212
SSP4,Great_Lakes_Basin,RFD,hi,0.442381,35.4239,0.0212
SSP4,Missouri_River_Basin,RFD,hi,0.424209,35.4239,0.0212
SSP4,Upper_Mississippi_Basin,RFD,hi,0.722097,35.4239,0.0212
SSP4,Saskatchewan_Nelson,RFD,hi,0.374142,35.4239,0.0212
SSP4,Ohio_River_Basin,RFD,hi,0.499012,35.4239,0.0212
