scenario,subregion,management,level,2020
SSP4,Arkansas_White_Red_Basin,IRR,hi,-0.147979
SSP4,Great_Lakes_Basin,IRR,hi,-0.0149844
SSP4,Missouri_River_Basin,IRR,hi,-0.520906
SSP4,Upper_Mississippi_Basin,IRR,hi,-0.0186
SSP4,Saskatchewan_Nelson,IRR,hi,-0.00536842
SSP4,Ohio_River_Basin,IRR,hi,-0.0106
SSP4,Arkansas_White_Red_Basin,IRR,hi,-0.147979
SSP4,Great_Lakes_Basin,IRR,hi,-0.0149844
SSP4,Missouri_River_Basin,IRR,hi,-0.520906
SSP4,Upper_Mississippi_Basin,IRR,hi,-0.0186
SSP4,Saskatchewan_Nelson,IRR,hi,-0.00536842
SSP4,Ohio_River_Basin,IRR,hi,-0.0106
