scenario,subregion,management,level,2030
SSP4,Arkansas_White_Red_Basin,IRR,hi,0.00241861
SSP4,Great_Lakes_Basin,IRR,hi,0.00525929
SSP4,Missouri_River_Basin,IRR,hi,-0.0733861
SSP4,Upper_Mississippi_Basin,IRR,hi,0.00515
SSP4,Saskatchewan_Nelson,IRR,hi,0.00148
SSP4,Ohio_River_Basin,IRR,hi,0.0024
SSP4,Arkansas_White_Red_Basin,IRR,hi,0.00241861
SSP4,Great_Lakes_Basin,IRR,hi,0.00525929
SSP4,Missouri_River_Basin,IRR,hi,-0.0733861
SSP4,Upper_Mississippi_Basin,IRR,hi,0.00515
SSP4,Saskatchewan_Nelson,IRR,hi,0.00148
SSP4,Ohio_River_Basin,IRR,hi,0.0024
