scenario,subregion,management,level,2050,ssps_max,ssps_min
SSP4,Arkansas_White_Red_Basin,RFD,hi,-0.471,3.21671,-5.83
SSP4,Great_Lakes_Basin,RFD,hi,-0.959838,3.21671,-5.83
SSP4,Missouri_River_Basin,RFD,hi,-3.69,3.21671,-5.83
SSP4,Upper_Mississippi_Basin,RFD,hi,-4.05452,3.21671,-5.83
SSP4,Saskatchewan_Nelson,RFD,hi,-0.222,3.21671,-5.83
SSP4,Ohio_River_Basin,RFD,hi,-2.13464,3.21671,-5.83
SSP4,Arkansas_White_Red_Basin,RFD,hi,-0.471,3.21671,-5.83
SSP4,Great_Lakes_Basin,RFD,hi,-0.959838,3.21671,-5.83
SSP4,Missouri_River_Basin,RFD,hi,-3.69,3.21671,-5.83
SSP4,Upper_Mississippi_Basin,RFD,hi,-4.05452,3.21671,-5.83
SSP4,Saskatchewan_Nelson,RFD,hi,-0.222,3.21671,-5.83
SSP4,Ohio_River_Basin,RFD,hi,-2.13464,3.21671,-5.83
