scenario,subregion,management,level,2050,ssps_max,ssps_min
SSP4,Arkansas_White_Red_Basin,RFD,lo,0.00237,0.108,6e-05
SSP4,Great_Lakes_Basin,RFD,lo,0.00368076,0.108,6e-05
SSP4,Missouri_River_Basin,RFD,lo,0.040029,0.108,6e-05
SSP4,Upper_Mississippi_Basin,RFD,lo,0.0230439,0.108,6e-05
SSP4,Saskatchewan_Nelson,RFD,lo,0.0479,0.108,6e-05
SSP4,Ohio_River_Basin,RFD,lo,0.009,0.108,6e-05
