scenario,subregion,management,level,2025,ssps_max,ssps_min
SSP4,Arkansas_White_Red_Basin,RFD,hi,-0.502,1.02808,-5.05
SSP4,Great_Lakes_Basin,RFD,hi,-0.812193,1.02808,-5.05
SSP4,Missouri_River_Basin,RFD,hi,-4.04,1.02808,-5.05
SSP4,Upper_Mississippi_Basin,RFD,hi,-2.93403,1.02808,-5.05
SSP4,Saskatchewan_Nelson,RFD,hi,-0.578,1.02808,-5.05
SSP4,Ohio_River_Basin,RFD,hi,-1.89092,1.02808,-5.05
SSP4,Arkansas_White_Red_Basin,RFD,hi,-0.502,1.02808,-5.05
SSP4,Great_Lakes_Basin,RFD,hi,-0.812193,1.02808,-5.05
SSP4,Missouri_River_Basin,RFD,hi,-4.04,1.02808,-5.05
SSP4,Upper_Mississippi_Basin,RFD,hi,-2.93403,1.02808,-5.05
SSP4,Saskatchewan_Nelson,RFD,hi,-0.578,1.02808,-5.05
SSP4,Ohio_River_Basin,RFD,hi,-1.89092,1.02808,-5.05
