scenario,subregion,management,level,2050,ssps_max,ssps_min
SSP4,Arkansas_White_Red_Basin,RFD,lo,0.0476,3.21671,-5.83
SSP4,Great_Lakes_Basin,RFD,lo,0.262381,3.21671,-5.83
SSP4,Missouri_River_Basin,RFD,lo,0.235,3.21671,-5.83
SSP4,Upper_Mississippi_Basin,RFD,lo,0.772266,3.21671,-5.83
SSP4,Saskatchewan_Nelson,RFD,lo,0.374,3.21671,-5.83
SSP4,Ohio_River_Basin,RFD,lo,0.55817,3.21671,-5.83
SSP4,Arkansas_White_Red_Basin,RFD,lo,0.0476,3.21671,-5.83
SSP4,Great_Lakes_Basin,RFD,lo,0.262381,3.21671,-5.83
SSP4,Missouri_River_Basin,RFD,lo,0.235,3.21671,-5.83
SSP4,Upper_Mississippi_Basin,RFD,lo,0.772266,3.21671,-5.83
SSP4,Saskatchewan_Nelson,RFD,lo,0.374,3.21671,-5.83
SSP4,Ohio_River_Basin,RFD,lo,0.55817,3.21671,-5.83
