scenario,subregion,management,level,2030,ssps_max,ssps_min
SSP4,Arkansas_White_Red_Basin,IRR,lo,0.0322,1.79371,-4.62
SSP4,Great_Lakes_Basin,IRR,lo,0.0107258,1.79371,-4.62
SSP4,Missouri_River_Basin,IRR,lo,0.0434033,1.79371,-4.62
SSP4,Upper_Mississippi_Basin,IRR,lo,0.0156,1.79371,-4.62
SSP4,Saskatchewan_Nelson,IRR,lo,0.00345882,1.79371,-4.62
SSP4,Ohio_River_Basin,IRR,lo,0.00591,1.79371,-4.62
SSP4,Arkansas_White_Red_Basin,IRR,lo,0.0322,1.79371,-4.62
SSP4,Great_Lakes_Basin,IRR,lo,0.0107258,1.79371,-4.62
SSP4,Missouri_River_Basin,IRR,lo,0.0434033,1.79371,-4.62
SSP4,Upper_Mississippi_Basin,IRR,lo,0.0156,1.79371,-4.62
SSP4,Saskatchewan_Nelson,IRR,lo,0.00345882,1.79371,-4.62
SSP4,Ohio_River_Basin,IRR,lo,0.00591,1.79371,-4.62
