scenario,subregion,management,level,2035
SSP4,Arkansas_White_Red_Basin,IRR,hi,0.0419057
SSP4,Great_Lakes_Basin,IRR,hi,0.00995964
SSP4,Missouri_River_Basin,IRR,hi,0.0520072
SSP4,Upper_Mississippi_Basin,IRR,hi,0.0109
SSP4,Saskatchewan_Nelson,IRR,hi,0.00379897
SSP4,Ohio_River_Basin,IRR,hi,0.00515
SSP4,Arkansas_White_Red_Basin,IRR,hi,0.0419057
SSP4,Great_Lakes_Basin,IRR,hi,0.00995964
SSP4,Missouri_River_Basin,IRR,hi,0.0520072
SSP4,Upper_Mississippi_Basin,IRR,hi,0.0109
SSP4,Saskatchewan_Nelson,IRR,hi,0.00379897
SSP4,Ohio_River_Basin,IRR,hi,0.00515
