scenario,subregion,management,level,2020,ssps_max,ssps_min
SSP4,Arkansas_White_Red_Basin,RFD,lo,-0.321,0.154842,-5.58
SSP4,Great_Lakes_Basin,RFD,lo,-0.222786,0.154842,-5.58
SSP4,Missouri_River_Basin,RFD,lo,-2.46,0.154842,-5.58
SSP4,Upper_Mississippi_Basin,RFD,lo,0.00308792,0.154842,-5.58
SSP4,Saskatchewan_Nelson,RFD,lo,-0.258,0.154842,-5.58
SSP4,Ohio_River_Basin,RFD,lo,-0.639423,0.154842,-5.58
SSP4,Arkansas_White_Red_Basin,RFD,lo,-0.321,0.154842,-5.58
SSP4,Great_Lakes_Basin,RFD,lo,-0.222786,0.154842,-5.58
SSP4,Missouri_River_Basin,RFD,lo,-2.46,0.154842,-5.58
SSP4,Upper_Mississippi_Basin,RFD,lo,0.00308792,0.154842,-5.58
SSP4,Saskatchewan_Nelson,RFD,lo,-0.258,0.154842,-5.58
SSP4,Ohio_River_Basin,RFD,lo,-0.639423,0.154842,-5.58
