scenario,subregion,management,level,2030
SSP1,Arkansas_White_Red_Basin,IRR,hi,0.00130439
SSP1,Great_Lakes_Basin,IRR,hi,0.000153
SSP1,Missouri_River_Basin,IRR,hi,0.00998
SSP1,Upper_Mississippi_Basin,IRR,hi,0.000452
SSP1,Saskatchewan_Nelson,IRR,hi,0.000819
SSP1,Ohio_River_Basin,IRR,hi,0.000109
