scenario,subregion,management,level,2030,ssps_max,ssps_min
SSP4,Arkansas_White_Red_Basin,RFD,lo,0.0602,1.79371,-4.62
SSP4,Great_Lakes_Basin,RFD,lo,0.355428,1.79371,-4.62
SSP4,Missouri_River_Basin,RFD,lo,-0.0499,1.79371,-4.62
SSP4,Upper_Mississippi_Basin,RFD,lo,0.947955,1.79371,-4.62
SSP4,Saskatchewan_Nelson,RFD,lo,0.434,1.79371,-4.62
SSP4,Ohio_River_Basin,RFD,lo,0.632609,1.79371,-4.62
SSP4,Arkansas_White_Red_Basin,RFD,lo,0.0602,1.79371,-4.62
SSP4,Great_Lakes_Basin,RFD,lo,0.355428,1.79371,-4.62
SSP4,Missouri_River_Basin,RFD,lo,-0.0499,1.79371,-4.62
SSP4,Upper_Mississippi_Basin,RFD,lo,0.947955,1.79371,-4.62
SSP4,Saskatchewan_Nelson,RFD,lo,0.434,1.79371,-4.62
SSP4,Ohio_River_Basin,RFD,lo,0.632609,1.79371,-4.62
