scenario,subregion,management,level,2030
SSP2,Arkansas_White_Red_Basin,IRR,lo,0.000791
SSP2,Great_Lakes_Basin,IRR,lo,9.25e-05
SSP2,Missouri_River_Basin,IRR,lo,0.00604781
SSP2,Upper_Mississippi_Basin,IRR,lo,0.000275
SSP2,Saskatchewan_Nelson,IRR,lo,0.000485
SSP2,Ohio_River_Basin,IRR,lo,6.57e-05
