Shuttle train,New Orleans,Laredo,Seattle,San Francisco,Long Beach,Great Lakes,Norfolk,Savannah
"Sioux Falls, SD ",1218.08,1274.77,1492.51,1737.35,1665.25,393.08,1464.63,1417.52
"Minneapolis, MN ",1209.88,1432.32,1667.27,1972.57,1948.84,152.55,1361.7,1383.2
"Fargo, ND ",1455.55,1512.24,1440.91,1793.09,1871.4,254.68,1588.99,1610.49
"Council Bluffs, IA ",1033.56,1093.27,1667.79,1669.39,1571.02,528.23,1344.9,1233.0
"Toledo, OH ",1010.34,1572.45,2306.67,2355.8,2257.43,714.66,647.07,818.15
"Grand Island, NE ",1104.34,1068.66,1609.26,1530.38,1432.01,615.52,1450.67,1338.78
