Scenario,Year,Rates,Demand_China,Demand_ROW,OBJ_Values,Revenue_Total,Cost_Total,Cost_Operation,Cost_Holding,Cost_Facility,Cost_Barges,Cost_Rails,Cost_BExport,Cost_SExport,Cost_Oceans,Total_production,Inventory,Quantity_X_Facility,Quantity_X_Country_Stream,Quantity_X_Country_Rail,Quantity_Y_Stream_Export,Quantity_Y_Rail_Export,Quantity_Z_Export_Import,China_Price,ROW_Price,Revenue_Domestic,Revenue_China,Revenue_Row,Subsidy,Tax,Runtime
SSP5,2050,1_1_0.5_1,397289407,317831526,30133638725346,30195082906047,61444180700,249127564,5968355969,926628994,1789400620,12302737415,3809099771,5404649738,30994180627,870638126,119367119,36150073,158915763,556205170,158915763,556205170,715120933,2402,1502,28719226604437,954493766251,477533463733,43829071622,0,15.919197082519531
SSP5,2050,1_1_1_1,397289407,317831526,30128673322393,30195082906047,66409583653,249127564,5968355969,926628994,2251440782,11280692803,5253643635,9473671285,31006022617,870638126,119367119,36150073,192767386,522353547,192767386,522353547,715120933,2402,1502,28719226604437,954493766251,477533463733,43829071622,0,15.836284637451172
SSP5,2050,1_1_1_10,397289407,317831526,29856818589000,30195082906047,338264317046,249127564,5968355969,926628994,2518600968,11103736087,5344270739,18043244978,294110351744,870638126,119367119,36150073,192767386,522353547,192767386,522353547,715120933,2402,1502,28719226604437,954493766251,477533463733,43829071622,0,15.767797470092773
SSP5,2050,1_10_1_1,397289407,317831526,30123499227576,30195082906047,71583678470,249127564,5968355969,926628994,0,18871763724,0,14363363624,31204438593,870638126,119367119,36150073,0,715120933,0,715120933,715120933,2402,1502,28719226604437,954493766251,477533463733,43829071622,0,16.63804054260254
SSP5,2050,10_1_1_1,397289407,317831526,30025540695858,30195082906047,169542210188,249127564,5968355969,9266289942,61314572813,35766151546,21852882811,4100874706,31023954833,870638126,119367119,36150073,430392003,284728930,430392003,284728930,715120933,2402,1502,28719226604437,954493766251,477533463733,43829071622,0,4.16877555847168
