,RiverToExport_0,RiverToExport_1,RiverToExport_2,RiverToExport_3,RiverToExport_4,RiverToExport_5,RiverToExport_6,RiverToExport_7
0,0.0,0.0,1751952217.9281342,0.0,0.0,0.0,0.0,0.0
1,1593743925.7884061,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,306648350.21058786,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,1376609930.0405648,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,2144868873.9693654,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,441624568.5643131,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,1716355908.3536577,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,4133014124.146928,0.0,0.0,0.0
8,3604694513.2984047,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2764883026.7576823,0.0,0.0,0.0,0.0,0.0,0.0,0.0
