,RiverToExport_0,RiverToExport_1,RiverToExport_2,RiverToExport_3,RiverToExport_4,RiverToExport_5,RiverToExport_6,RiverToExport_7
0,0.0,0.0,2313416015.5972385,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,2104552557.3727274,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,3617635204.246793,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,408988719.5912632,0.0,0.0,0.0
5,441624568.5643131,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1388202648.4858954,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7201051952.3728695,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2575722154.950477,0.0,0.0,0.0,0.0,0.0,0.0,0.0
