,RiverToExport_0,RiverToExport_1,RiverToExport_2,RiverToExport_3,RiverToExport_4,RiverToExport_5,RiverToExport_6,RiverToExport_7
0,0.0,0.0,2148375601.335038,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,1321671422.8597305,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,4003512840.1750054,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,2822046315.843948,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,873413433.2831943,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,1026351888.3177158,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,5280100164.416466,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2575722154.950477,0.0,0.0,0.0,0.0,0.0,0.0,0.0
