Scenario,Year,Rates,Demand_China,Demand_ROW,OBJ_Values,Revenue_Total,Cost_Total,Cost_Operation,Cost_Holding,Cost_Facility,Cost_Barges,Cost_Rails,Cost_BExport,Cost_SExport,Cost_Oceans,Total_production,Inventory,Quantity_X_Facility,Quantity_X_Country_Stream,Quantity_X_Country_Rail,Quantity_Y_Stream_Export,Quantity_Y_Rail_Export,Quantity_Z_Export_Import,China_Price,ROW_Price,Revenue_Domestic,Revenue_China,Revenue_Row,Subsidy,Tax,Runtime
SSP3,2040,1_1_0.5_1,243901232,195120986,13144707804212,13184538093645,39830289433,143466671,6520394595,606538466,973159826,6848308689,2338456833,3430034698,18969929652,593058820,130407891,23628709,97560493,341461726,97560493,341461726,439022219,2431,1538,12262697893651,593084570862,300107708848,28647920282,0,23.779996871948242
SSP3,2040,1_1_1_1,243901232,195120986,13141574525175,13184538093645,42963568470,143466671,6520394595,606538466,1255457029,6302323079,3315814036,5800600855,19018973736,593058820,130407891,23628709,120452516,318569702,120452516,318569702,439022219,2431,1538,12262697893651,593084570862,300107708848,28647920282,0,29.193960189819336
SSP3,2040,1_1_1_10,243901232,195120986,12974829390230,13184538093645,209708703415,143466671,6520394595,606538466,1325396954,6221722398,3345836771,10898520352,180646827204,593058820,130407891,23628709,116910943,322111275,116910943,322111275,439022219,2431,1538,12262697893651,593084570862,300107708848,28647920282,0,29.27553367614746
SSP3,2040,1_10_1_1,243901232,195120986,13138510912760,13184538093645,46027180884,143466671,6520394595,606538466,0,10623708007,0,8987837622,19145235522,593058820,130407891,23628709,0,439022219,0,439022219,439022219,2431,1538,12262697893651,593084570862,300107708848,28647920282,0,29.207042694091797
SSP3,2040,10_1_1_1,243901232,195120986,13082208788034,13184538093645,102329305611,143466671,6520394595,6065384661,32845305677,22468345589,12465781128,2807523416,19013103872,593058820,130407891,23628709,251614272,187407946,251614272,187407946,439022219,2431,1538,12262697893651,593084570862,300107708848,28647920282,0,29.819015502929688
