,RiverToExport_0,RiverToExport_1,RiverToExport_2,RiverToExport_3,RiverToExport_4,RiverToExport_5,RiverToExport_6,RiverToExport_7
0,2099204866.0575018,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,390080232.9690363,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1538748382.9651814,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,4738393937.1953,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,16650806807.604433,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,809092808.3357282,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
