Scenario,Year,Rates,Demand_China,Demand_ROW,OBJ_Values,Revenue_Total,Cost_Total,Cost_Operation,Cost_Holding,Cost_Facility,Cost_Barges,Cost_Rails,Cost_BExport,Cost_SExport,Cost_Oceans,Total_production,Inventory,Quantity_X_Facility,Quantity_X_Country_Stream,Quantity_X_Country_Rail,Quantity_Y_Stream_Export,Quantity_Y_Rail_Export,Quantity_Z_Export_Import,China_Price,ROW_Price,Revenue_Domestic,Revenue_China,Revenue_Row,Subsidy,Tax,Runtime
SSP3,2035,1_1_0.5_1,191102997,152882398,8795336548496,8827436161255,32099612759,108847474,6395044539,492882249,673240310,5042431047,1832242118,2700727592,14854197426,491094455,127900890,19208168,76441199,267544197,76441199,267544197,343985396,2441,1550,8100518504185,466614361385,237014928262,23288367421,0,16.86317253112793
SSP3,2035,1_1_1_1,191102997,152882398,8792840731928,8827436161255,34595429327,108847474,6395044539,492882249,918373453,4583578611,2584910269,4630114803,14881677924,491094455,127900890,19208168,94033648,249951747,94033648,249951747,343985396,2441,1550,8100518504185,466614361385,237014928262,23288367421,0,17.099382400512695
SSP3,2035,1_1_1_10,191102997,152882398,8662240473819,8827436161255,165195687435,108847474,6395044539,492882249,817323021,4862085338,2417244970,8730807804,141371452036,491094455,127900890,19208168,82427973,261557422,82427973,261557422,343985396,2441,1550,8100518504185,466614361385,237014928262,23288367421,0,17.53232765197754
SSP3,2035,1_10_1_1,191102997,152882398,8790534044177,8827436161255,36902117078,108847474,6395044539,492882249,0,7784410101,0,7130954423,14989978288,491094455,127900890,19208168,0,343985396,0,343985396,343985396,2441,1550,8100518504185,466614361385,237014928262,23288367421,0,17.49840545654297
SSP3,2035,10_1_1_1,191102997,152882398,8748433594833,8827436161255,79002566422,108847474,6395044539,4928822497,22418322502,18941002562,8872903134,2460539300,14877084410,491094455,127900890,19208168,185964838,158020558,185964838,158020558,343985396,2441,1550,8100518504185,466614361385,237014928262,23288367421,0,17.56546974182129
