,ToRiver_0,ToRiver_1,ToRiver_2,ToRiver_3,ToRiver_4,ToRiver_5,ToRiver_6,ToRiver_7,ToRiver_8,ToRiver_9,ToRail_0,ToRail_1,ToRail_2,ToRail_3,ToRail_4,ToRail_5,X_Facility
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203342908.0260567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97890800.89973861
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178273947.2760567,0.0,97890800.89973861
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193315323.7260567,0.0,97890800.89973861
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148191194.38605672,0.0,97890800.89973861
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223398076.6160567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97890800.89973861
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208356700.1760567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97890800.89973861
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143177402.23605675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97890800.89973858
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,867773792.2703875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407682820.0930232
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183287739.42605668,0.0,97890800.89973861
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168246362.98605675,0.0,97890800.89973858
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158218778.68605673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97890800.8997386
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138163610.0860567,0.0,97890800.89973861
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153204986.5360567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97890800.89973861
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128136025.79605672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97890800.8997386
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223398076.6160567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97890800.89973861
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193315323.7260567,0.0,97890800.89973861
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163232570.8360567,0.0,97890800.89973861
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178273947.2760567,0.0,97890800.89973861
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143177402.23605675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97890800.89973858
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143177402.23605675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97890800.89973858
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,554700837.4603876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407682820.0930231
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133149817.94605674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97890800.8997386
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153204986.5360567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97890800.89973861
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203342908.0260567,0.0,97890800.89973861
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208356700.1760567,0.0,97890800.89973861
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158218778.68605673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97890800.8997386
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148191194.38605672,0.0,97890800.89973861
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198329115.87605673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97890800.8997386
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168246362.98605675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97890800.89973858
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213370492.31605673,0.0,97890800.8997386
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173260155.12605673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97890800.8997386
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208356700.1760567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97890800.89973861
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178273947.2760567,0.0,97890800.89973861
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,846902261.9503876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407682820.09302306
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183287739.42605668,0.0,97890800.89973861
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153204986.5360567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97890800.89973861
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188301531.57605672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97890800.89973861
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168246362.98605675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97890800.89973858
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173260155.12605673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97890800.8997386
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153204986.5360567,0.0,97890800.89973861
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218384284.4660567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97890800.89973861
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198329115.87605673,0.0,97890800.8997386
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198329115.87605673,0.0,97890800.8997386
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218384284.4660567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97890800.89973861
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183287739.42605668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97890800.89973861
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133149817.94605674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97890800.8997386
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,805159201.3103875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407682820.0930232
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,763416140.6703874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407682820.0930232
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158218778.68605673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97890800.8997386
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173260155.12605673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97890800.8997386
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158218778.68605673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97890800.8997386
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133149817.94605674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97890800.8997386
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163232570.8360567,0.0,97890800.89973861
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203342908.0260567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97890800.89973861
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178273947.2760567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97890800.89973861
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138163610.0860567,0.0,97890800.89973861
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198329115.87605673,0.0,97890800.8997386
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163232570.8360567,0.0,0.0,97890800.89973861
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158218778.68605673,0.0,0.0,97890800.8997386
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178273947.2760567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97890800.89973861
